# epoch recerr_sq kldiv lact_dec valid_recerr_sq valid_kldiv duration
88 8.7061810e-01 7.9167274e+01 1.5024126e+01 7.8568023e-01 7.8811996e+01 8.8985851e+02
89 8.0171949e-01 7.9371704e+01 1.5278179e+01 7.9534376e-01 7.9002815e+01 8.9951248e+02
90 8.2886088e-01 7.9651527e+01 1.4852466e+01 7.5361514e-01 7.9379425e+01 9.0904234e+02
91 7.9372025e-01 8.0086716e+01 1.5308664e+01 8.2547683e-01 7.9187080e+01 9.1909753e+02
92 8.5898894e-01 8.0481812e+01 1.5000542e+01 8.1098306e-01 7.9534203e+01 9.2733878e+02
93 8.1276184e-01 8.0262039e+01 1.5216901e+01 7.7713692e-01 7.9922607e+01 9.3915411e+02
94 8.2128423e-01 8.0507004e+01 1.5013140e+01 8.5233301e-01 7.9830841e+01 9.5044019e+02
95 8.4419191e-01 8.0609978e+01 1.5090428e+01 7.7128255e-01 7.9831856e+01 9.6005204e+02
96 7.8242230e-01 8.0586220e+01 1.5066938e+01 7.5766701e-01 8.0650261e+01 9.6840373e+02
97 8.1221420e-01 8.0901917e+01 1.5089291e+01 7.9623139e-01 8.1472687e+01 9.7598418e+02
98 7.9103529e-01 8.1665504e+01 1.5033147e+01 7.1986079e-01 8.1098259e+01 9.8455788e+02
99 7.6279950e-01 8.1714111e+01 1.5182691e+01 6.9766212e-01 8.1322456e+01 9.9329036e+02
100 8.4045881e-01 8.1900391e+01 1.4880453e+01 7.3941773e-01 8.1219353e+01 1.0051737e+03
101 7.4665338e-01 8.1562141e+01 1.5422346e+01 7.3369414e-01 8.0697952e+01 1.0161100e+03
102 7.3809183e-01 8.1306602e+01 1.4992788e+01 8.3205789e-01 8.0426758e+01 1.0260742e+03
103 7.5648880e-01 8.1242783e+01 1.5236672e+01 8.2899201e-01 8.0896835e+01 1.0337337e+03
104 7.6766175e-01 8.1136833e+01 1.4983654e+01 6.7539054e-01 8.1020149e+01 1.0426477e+03
105 7.5127077e-01 8.1294495e+01 1.5094077e+01 6.6902322e-01 8.1041916e+01 1.0527998e+03
106 7.2538763e-01 8.1094978e+01 1.5219783e+01 6.8135267e-01 8.1276260e+01 1.0640504e+03
107 6.8434083e-01 8.1347580e+01 1.5123183e+01 6.8557090e-01 8.1835526e+01 1.0698316e+03
108 7.0256478e-01 8.1925911e+01 1.5000091e+01 6.2995797e-01 8.2093781e+01 1.0821132e+03
109 6.8931198e-01 8.2209892e+01 1.5214643e+01 7.0484316e-01 8.3054245e+01 1.0924363e+03
110 7.4847353e-01 8.2622734e+01 1.4999707e+01 5.8386040e-01 8.2222725e+01 1.0988769e+03
111 6.4343071e-01 8.2506218e+01 1.5319258e+01 6.8732613e-01 8.1847267e+01 1.1112372e+03
112 7.0617080e-01 8.2672806e+01 1.5055248e+01 6.1251891e-01 8.2056267e+01 1.1183673e+03
113 6.7525446e-01 8.2756149e+01 1.5165684e+01 6.9262391e-01 8.3497520e+01 1.1262544e+03
114 7.2111487e-01 8.3405266e+01 1.5062295e+01 5.9120452e-01 8.2682617e+01 1.1364151e+03
115 6.7694604e-01 8.3677132e+01 1.5277168e+01 7.3829740e-01 8.2947235e+01 1.1471079e+03
116 6.8710017e-01 8.3975174e+01 1.4996799e+01 6.0053140e-01 8.4168259e+01 1.1546470e+03
117 6.7003614e-01 8.4382088e+01 1.5152378e+01 6.5429163e-01 8.5502777e+01 1.1664348e+03
118 6.8852639e-01 8.5245438e+01 1.4963077e+01 6.1361545e-01 8.4710976e+01 1.1800165e+03
119 6.3096738e-01 8.5309059e+01 1.5194518e+01 6.0497129e-01 8.4795441e+01 1.1895384e+03
120 6.3781965e-01 8.5553986e+01 1.5069749e+01 5.8352882e-01 8.5281868e+01 1.2001158e+03
121 6.5441900e-01 8.5544930e+01 1.5152957e+01 6.0923606e-01 8.6106621e+01 1.2075054e+03
122 6.5545535e-01 8.6010803e+01 1.5162815e+01 6.3620472e-01 8.5804886e+01 1.2174403e+03
123 6.3371909e-01 8.6352608e+01 1.4990375e+01 6.1511135e-01 8.6059189e+01 1.2278140e+03
124 6.9147360e-01 8.6665138e+01 1.4939819e+01 6.7951202e-01 8.7620651e+01 1.2362147e+03
125 7.1342802e-01 8.6651115e+01 1.5293611e+01 5.8006907e-01 8.5842155e+01 1.2467924e+03
126 6.7600250e-01 8.6331268e+01 1.5148659e+01 7.0085710e-01 8.4912727e+01 1.2558868e+03
127 6.2549269e-01 8.5777908e+01 1.5053802e+01 6.3289827e-01 8.5835617e+01 1.2670243e+03
128 6.3985366e-01 8.6658867e+01 1.4832050e+01 5.3347814e-01 8.6398590e+01 1.2778106e+03
129 5.8824599e-01 8.7229286e+01 1.5369610e+01 6.1757737e-01 8.6647209e+01 1.2883811e+03
130 6.4271283e-01 8.7830124e+01 1.4939373e+01 6.1157113e-01 8.7292557e+01 1.2989703e+03
131 6.1682451e-01 8.8037201e+01 1.5010076e+01 5.6365097e-01 8.8037033e+01 1.3112558e+03
132 6.1320472e-01 8.8153946e+01 1.4993007e+01 6.1351734e-01 8.7760452e+01 1.3215267e+03
133 7.1126348e-01 8.7602272e+01 1.4965407e+01 5.3275466e-01 8.7862411e+01 1.3302255e+03
134 5.8716810e-01 8.7666946e+01 1.5368252e+01 7.8562582e-01 8.6039413e+01 1.3416484e+03
135 6.9451004e-01 8.7176620e+01 1.4838740e+01 5.7674062e-01 8.7054657e+01 1.3518149e+03
136 6.3771528e-01 8.7295700e+01 1.4994562e+01 5.8581632e-01 8.7832146e+01 1.3602737e+03
137 6.0027504e-01 8.8135872e+01 1.5082499e+01 6.6604477e-01 8.6729866e+01 1.3690534e+03
138 6.0020810e-01 8.8331192e+01 1.4925781e+01 5.0147021e-01 8.9050079e+01 1.3799689e+03
139 6.0750902e-01 8.9244240e+01 1.5011806e+01 5.3232974e-01 8.8833748e+01 1.3897168e+03
140 5.8527350e-01 8.9610947e+01 1.4987152e+01 6.0261953e-01 8.8625427e+01 1.3972252e+03
141 6.8377668e-01 8.9328079e+01 1.5016051e+01 5.2313024e-01 8.8434685e+01 1.4071932e+03
142 6.0707343e-01 8.8650627e+01 1.5005894e+01 5.5441427e-01 8.8153069e+01 1.4171148e+03
143 5.6020933e-01 8.8182274e+01 1.5076740e+01 7.0533776e-01 8.5989685e+01 1.4253360e+03
144 6.3394469e-01 8.7593323e+01 1.4799213e+01 5.4600745e-01 8.7471992e+01 1.4331316e+03
145 5.7207036e-01 8.7691963e+01 1.4829460e+01 5.0356925e-01 8.8481827e+01 1.4406864e+03
146 5.3136152e-01 8.8331261e+01 1.5072875e+01 5.5662125e-01 8.8161476e+01 1.4518703e+03
147 5.6324583e-01 8.8963043e+01 1.4801679e+01 5.5453211e-01 8.8582092e+01 1.4621567e+03
148 5.4522860e-01 8.9157166e+01 1.4852772e+01 5.2343214e-01 9.0501579e+01 1.4747098e+03
149 5.8123910e-01 8.9681854e+01 1.4928960e+01 4.8084390e-01 8.9774261e+01 1.4819611e+03
150 5.3734428e-01 9.0065292e+01 1.4895600e+01 6.0548037e-01 8.9428368e+01 1.4908243e+03
151 5.6008983e-01 9.0110588e+01 1.4786149e+01 4.7562760e-01 9.0391945e+01 1.4985346e+03
152 5.1806307e-01 9.0607620e+01 1.4858031e+01 4.9525487e-01 9.0511749e+01 1.5079783e+03
153 5.2485603e-01 9.1121895e+01 1.4774985e+01 5.0336760e-01 9.1540001e+01 1.5161651e+03
154 5.1289034e-01 9.1924431e+01 1.4768118e+01 4.8635533e-01 9.1502106e+01 1.5275067e+03
155 5.2009588e-01 9.2397598e+01 1.4795979e+01 6.1359316e-01 9.1608444e+01 1.5357525e+03
156 5.8689588e-01 9.2627838e+01 1.4745300e+01 5.9653306e-01 9.1336182e+01 1.5437369e+03
157 5.7144374e-01 9.2240334e+01 1.4698599e+01 5.3479660e-01 9.1904366e+01 1.5545479e+03
158 5.6107748e-01 9.1979080e+01 1.4554668e+01 5.5751646e-01 9.3439804e+01 1.5655085e+03
159 5.7492000e-01 9.2454704e+01 1.4681904e+01 4.6546927e-01 9.2069672e+01 1.5740806e+03
160 5.3147769e-01 9.2813942e+01 1.4697069e+01 5.8219796e-01 9.2180954e+01 1.5814195e+03
161 5.1849318e-01 9.3122620e+01 1.4536250e+01 4.8525989e-01 9.4005348e+01 1.5915210e+03
162 5.2847302e-01 9.4170471e+01 1.4526682e+01 5.0234175e-01 9.4161270e+01 1.6022014e+03
163 5.3050202e-01 9.4601921e+01 1.4462895e+01 4.6229756e-01 9.4808006e+01 1.6096556e+03
164 5.0122529e-01 9.4784889e+01 1.4540492e+01 4.7410715e-01 9.5288727e+01 1.6206458e+03
165 5.9531099e-01 9.4720879e+01 1.4425289e+01 5.3576452e-01 9.5055382e+01 1.6272689e+03
166 5.2400392e-01 9.4863739e+01 1.4570374e+01 6.2024039e-01 9.3947762e+01 1.6391453e+03
167 5.8739340e-01 9.4484367e+01 1.4297578e+01 4.9732688e-01 9.4042213e+01 1.6454746e+03
168 5.1799923e-01 9.4562927e+01 1.4350550e+01 5.1864570e-01 9.4803680e+01 1.6566880e+03
169 5.4633868e-01 9.4945465e+01 1.4224292e+01 5.2351302e-01 9.6337135e+01 1.6671091e+03
170 5.6975371e-01 9.5421707e+01 1.4268257e+01 4.2461398e-01 9.5804268e+01 1.6760072e+03
171 5.0203097e-01 9.5639999e+01 1.4339245e+01 4.9936828e-01 9.5189514e+01 1.6893160e+03
172 5.2746826e-01 9.5251434e+01 1.4183691e+01 5.1680726e-01 9.6393890e+01 1.6973347e+03
173 5.2037686e-01 9.5853203e+01 1.4120191e+01 4.7182870e-01 9.6141212e+01 1.7060720e+03
174 5.0574529e-01 9.5990929e+01 1.4151525e+01 5.2829319e-01 9.6209862e+01 1.7177622e+03
175 5.7072538e-01 9.6112732e+01 1.3924513e+01 4.6702901e-01 9.6836555e+01 1.7270067e+03
176 4.9585736e-01 9.6194267e+01 1.4118630e+01 4.4233340e-01 9.6370911e+01 1.7355975e+03
177 4.6279022e-01 9.6343262e+01 1.3937710e+01 4.7494262e-01 9.6042160e+01 1.7444854e+03
178 5.0373423e-01 9.6978226e+01 1.3781358e+01 4.8875821e-01 9.7854904e+01 1.7550120e+03
179 5.9847033e-01 9.7226852e+01 1.3860985e+01 5.1082295e-01 9.7815819e+01 1.7617764e+03
180 5.1085758e-01 9.7029655e+01 1.3807245e+01 4.7557414e-01 9.7618370e+01 1.7697015e+03
181 5.2773738e-01 9.6896706e+01 1.3651332e+01 4.6372658e-01 9.7850563e+01 1.7797652e+03
182 5.1605463e-01 9.7208672e+01 1.3740918e+01 4.7279143e-01 9.7541702e+01 1.7904414e+03
183 5.0161552e-01 9.7690353e+01 1.3601213e+01 5.5801898e-01 9.7103523e+01 1.7988679e+03
184 4.9989277e-01 9.7687111e+01 1.3546333e+01 4.3862018e-01 9.7653992e+01 1.8086458e+03
185 5.1804388e-01 9.8194603e+01 1.3514235e+01 6.7543238e-01 9.6620316e+01 1.8184107e+03
186 5.6230283e-01 9.7732910e+01 1.3324114e+01 4.5934376e-01 9.7005852e+01 1.8279962e+03
187 4.9300659e-01 9.7414894e+01 1.3326293e+01 5.0256437e-01 9.7642677e+01 1.8388295e+03
188 4.6738136e-01 9.7702438e+01 1.3248701e+01 4.1963905e-01 9.8028801e+01 1.8491107e+03
189 5.3904611e-01 9.8287659e+01 1.3181086e+01 5.3764457e-01 9.9525360e+01 1.8596156e+03
190 5.2537668e-01 9.8652893e+01 1.3109138e+01 5.5373770e-01 9.9243362e+01 1.8687731e+03
191 6.0034585e-01 9.8710762e+01 1.3044585e+01 4.8104095e-01 9.8718201e+01 1.8813154e+03
192 4.8369145e-01 9.8026031e+01 1.2999882e+01 4.5481759e-01 9.8828865e+01 1.8881920e+03
193 4.6193665e-01 9.8657463e+01 1.2889430e+01 4.3076348e-01 9.7803749e+01 1.9009783e+03
194 4.9400592e-01 9.9085587e+01 1.2733929e+01 4.7122937e-01 9.9107445e+01 1.9107922e+03
195 4.9668798e-01 9.9520119e+01 1.2750309e+01 4.9279603e-01 1.0125787e+02 1.9179558e+03
196 5.8229452e-01 9.9802979e+01 1.2670230e+01 4.7285479e-01 1.0128290e+02 1.9258111e+03
197 5.6355554e-01 1.0002664e+02 1.2606210e+01 4.9104577e-01 9.9066467e+01 1.9335863e+03
198 5.3652555e-01 9.9158669e+01 1.2469765e+01 5.1739627e-01 9.9203270e+01 1.9417469e+03
199 4.8434663e-01 9.8859955e+01 1.2456435e+01 4.5082751e-01 9.8272263e+01 1.9505074e+03
200 5.0994092e-01 9.9001801e+01 1.2463875e+01 5.2005196e-01 9.8745598e+01 1.9593621e+03
