# epoch recerr_sq kldiv lact_dec valid_recerr_sq valid_kldiv duration
91 6.2377727e-01 6.5280602e+01 0.0000000e+00 5.5863708e-01 6.4274376e+01 4.5107676e+01
92 6.1077285e-01 6.5616676e+01 0.0000000e+00 5.6638521e-01 6.5239861e+01 4.5647428e+01
93 6.0512316e-01 6.6186920e+01 0.0000000e+00 5.4981321e-01 6.5186882e+01 4.6323905e+01
94 5.9236354e-01 6.6685646e+01 0.0000000e+00 5.5416816e-01 6.5024231e+01 4.6933861e+01
95 5.9106374e-01 6.6937798e+01 0.0000000e+00 5.2859515e-01 6.5751633e+01 4.7119866e+01
96 5.7080847e-01 6.7352562e+01 0.0000000e+00 5.2461487e-01 6.6201721e+01 4.7775362e+01
97 5.5855113e-01 6.7682343e+01 0.0000000e+00 5.1509315e-01 6.7301605e+01 4.8445252e+01
98 5.5020803e-01 6.8374542e+01 0.0000000e+00 5.1887572e-01 6.7346054e+01 4.8572881e+01
99 5.5658472e-01 6.8900749e+01 0.0000000e+00 5.6742889e-01 6.6471313e+01 4.9105937e+01
100 7.0989281e-01 6.9246124e+01 0.0000000e+00 7.4181443e-01 6.5606049e+01 4.9730641e+01
101 6.4469749e-01 6.8755524e+01 0.0000000e+00 5.9876561e-01 7.0010170e+01 5.0166746e+01
102 6.3056582e-01 6.9416069e+01 0.0000000e+00 5.6589293e-01 6.8323540e+01 5.0685471e+01
103 5.8909220e-01 6.8442841e+01 0.0000000e+00 5.4137027e-01 6.5649055e+01 5.1157912e+01
104 5.5249238e-01 6.6867615e+01 0.0000000e+00 4.9098319e-01 6.6473381e+01 5.1861548e+01
105 5.1455629e-01 6.6407410e+01 0.0000000e+00 4.6386513e-01 6.3812199e+01 5.2380821e+01
106 4.7886127e-01 6.5442749e+01 0.0000000e+00 4.2950380e-01 6.4297867e+01 5.2751574e+01
107 4.5008782e-01 6.5240089e+01 0.0000000e+00 4.4838482e-01 6.3935123e+01 5.3148920e+01
108 4.5064008e-01 6.5132370e+01 0.0000000e+00 4.3562853e-01 6.4222527e+01 5.3627389e+01
109 4.3770930e-01 6.5538742e+01 0.0000000e+00 4.1301152e-01 6.4777954e+01 5.4264861e+01
110 4.3731293e-01 6.5957764e+01 0.0000000e+00 4.0421781e-01 6.6280457e+01 5.4912885e+01
111 4.3330947e-01 6.6947594e+01 0.0000000e+00 3.8995659e-01 6.5918930e+01 5.5431039e+01
112 4.1518405e-01 6.7641693e+01 0.0000000e+00 4.0238664e-01 6.8156731e+01 5.6130404e+01
113 4.2369044e-01 6.8776787e+01 0.0000000e+00 3.9243421e-01 6.8027664e+01 5.6404557e+01
114 4.0838146e-01 6.9616058e+01 0.0000000e+00 3.8602397e-01 6.8465950e+01 5.6932055e+01
115 4.0889171e-01 7.0149635e+01 0.0000000e+00 3.9608562e-01 7.0652298e+01 5.7311416e+01
116 4.2431694e-01 7.1023888e+01 0.0000000e+00 4.0849930e-01 6.9978889e+01 5.7611453e+01
117 4.1966659e-01 7.1507492e+01 0.0000000e+00 4.2041966e-01 6.9947609e+01 5.8254420e+01
